Myotis.daubentonii,Myotis.mystacinus,Nyctalus.noctula,Myotis.myotis,Eptesicus.nilssonii,Pipistrellus.pipistrellus,Myotis.nigricans,Myotis.brandtii,Tylonycteris.pachypus,Myotis.nattereri,Corynorhinus.townsendii,Rhinolophus.pearsonii,Rhinolophus.landeri,Rousettus.aegyptiacus,Eidolon.helvum,Micropteropus.pusillus,Epomophorus.gambianus,Pteropus.hypomelanus,Ptenochirus.jagori,Harpyionycteris.whiteheadi,Desmodus.rotundus,Carollia.perspicillata,Glossophaga.soricina,Sturnira.lilium,Micronycteris.microtis,Artibeus.toltecus,Artibeus.planirostris,Phyllostomus.hastatus,Vampyressa.bidens,Artibeus.obscurus,Monophyllus.redmani,Brachyphylla.cavernarum,Artibeus.jamaicensis,Macrotus.waterhousii,Diaemus.youngi,Phyllonycteris.poeyi,Lophostoma.silvicolum,Artibeus.lituratus,Noctilio.leporinus,Pteronotus.davyi,Pteronotus.personatus,Miniopterus.natalensis,Miniopterus.schreibersii,Triaenops.persicus,Hipposideros.gigas,Hipposideros.diadema,Hipposideros.larvatus,Megaderma.lyra,Rhinolophus.borneensis,Megaerops.niphanae,Rhinolophus.acuminatus,Rhinolophus.sinicus,Coleura.afra,Hipposideros.armiger,Hipposideros.fulvus,Taphozous.melanopogon,Chaerephon.plicatus,Eidolon.dupreanum,Anoura.geoffroyi,Sturnira.mordax,Vampyressa.thyone,Carollia.castanea,Platyrrhinus.vittatus,Carollia.sowelli,Myotis.keaysi,Uroderma.bilobatum
0,0,0,0,0,0,0.860369992,0,0,0,0.015807674,0,0,0,0,0,0,0,0,0,0.821504504,0.897989479,1,0.889929243,0.289639969,0.056052037,0.489236304,0.824522221,0.437415439,0.739486152,0.000749586,0,0.112887329,0.039748708,0.822663262,0,0.801840309,0.943907732,0.857626626,0.221584258,0.31379466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497203896,0.001167874,0.298476002,0.322036408,0.050219205,0.05239811,0.201186245,0.83321316
0,0,0,0,0,0,0.890307634,0,0,0,0.014952597,0,0,0,0,0,0,0,0,0,0.849413797,0.875631474,0.889929243,1,0.279607185,0.053044512,0.512104294,0.788024482,0.411596468,0.714806879,0,0.000187925,0.104853598,0.035936139,0.835104935,0,0.762962849,0.890573006,0.897116996,0.207076763,0.301150237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44979575,0.001101348,0.281325621,0.296795093,0.048750213,0.04974108,0.179752858,0.791965296
0,0,0,0,0,0,0.276639147,0,0,0,0.001544704,0,0,0,0,0,0,0,0,0,0.241510555,0.297915264,0.289639969,0.279607185,1,0.10982829,0.278382706,0.281186943,0.420299384,0.263908528,0,0,0.183961821,0.041227447,0.269468213,0,0.279186467,0.300976662,0.285927042,0.245376846,0.133623772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109176188,0.005954075,0.191267748,0.15183981,0.026829896,0.181587272,0.145100881,0.303946581
0,0,0,0,0,0,0.035048578,0,0,0,0.022462281,0,0,0,0,0,0,0,0,0,0.048430089,0.026275432,0.056052037,0.053044512,0.10982829,1,0,0.00898637,0,0,0,0,0.341968871,0.360901875,0.014989713,0,0.007126379,0.055658947,0.038303375,0.211984719,0.166255206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094696878,0.026742304,0.052022486,0.02713628,0.036247393,0.288619771,0.11782823,0.020615348
0,0,0,0,0,0,0.547372799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437824751,0.539954807,0.489236304,0.512104294,0.278382706,0,1,0.542972952,0.511575299,0.633017275,0,0,0,0,0.595782326,0,0.531187114,0.511781169,0.535533006,0.104875758,0.124478995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293751631,0,0.213366591,0.259176978,0,0,0.036283157,0.515336812
0,0,0,0,0,0,0.853366076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696308868,0.894751437,0.824522221,0.788024482,0.281186943,0.00898637,0.542972952,1,0.520384429,0.836983302,0,0,0.059251981,0,0.865333214,0,0.9378719,0.865092326,0.81621376,0.160138003,0.273643892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456474671,0.001351971,0.329534352,0.377098349,0.059843788,0.020082868,0.174024858,0.943088034
0,0,0,0,0,0,0.444038878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36740034,0.470978184,0.437415439,0.411596468,0.420299384,0,0.511575299,0.520384429,1,0.522551228,0,0,0.012631084,0,0.458487563,0,0.537269457,0.457240842,0.417812563,0.139364519,0.129120001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213546595,0,0.368581045,0.446761321,0.006057179,0,0.150541493,0.518651602
0,0,0,0,0,0,0.768495432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614922201,0.803500912,0.739486152,0.714806879,0.263908528,0,0.633017275,0.836983302,0.522551228,1,0,0,0.001263454,0,0.829956467,0,0.816968538,0.773906527,0.740238661,0.088758734,0.213093331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406357844,0,0.20242822,0.248696711,0.002541912,0,0.063070585,0.797292976
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000749586,0,0,0,0,0,0,0,1,0.041611218,0.106570748,0.236502838,0,0.885065148,0,0,0.014211764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187925,0,0,0,0,0,0,0.041611218,1,0.007315265,0,0,0,0,2.46E-05,0.001029098,0.000550359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
